region,suffix,allocation,demand,cost,generation,windshare,solarshare,capacity,windcapacity,solarcapacity,windpotential
Argentina,CapDen1.0,Opt,345.90095583436624,23.930846904047282,379.3596259288073,0.7376407081909135,0.10513528751177567,105.58382643355228,56.41482500923624,20.12551496497874,2549.788615726262
Azerbaijan,CapDen1.0,Opt,32.45887155999625,36.661623759925,43.2198080651824,0.33875342244378415,0.4183070011784603,15.468823805661959,4.0549724655078565,8.931271255064111,8.138580551113868
Bolivia,CapDen1.0,Opt,19.706484981437974,33.136277309665054,23.697572436069127,0.5656948141364719,0.19962205092618,7.5932769889666,3.3982725997595478,2.328847062742484,299.8429532691828
C̫te d'Ivoire,CapDen1.0,Opt,27.306529435224284,37.482449419591774,42.14072321962842,0.016835088964697157,0.633033573270296,14.794957121661227,0.28358297945042193,13.186124593128175,0.2835829812755797
China,CapDen1.0,Opt,13379.414729799119,31.323821032732884,16602.257588724417,0.4660656465410399,0.35701132244242584,5747.4981695526185,2016.4700863095545,2754.7038869664334,4467.782859260272
Croatia,CapDen1.0,Opt,22.91061588489476,26.802627264845647,27.097984208632727,0.39529933008537993,0.29028084439455226,9.88799838024865,2.8306541869314397,4.734298455442728,14.204529233690677
Democratic Republic of the Congo,CapDen1.0,Opt,26.69235567541778,28.290013836241076,30.758651212847447,0.2882060806018456,0.3300684006789767,11.315828243133474,3.1130349032708637,5.219088204415819,8.186852035125584
Ecuador,CapDen1.0,Opt,58.014202687630025,29.99942743064107,69.8776297193285,0.3981636580182244,0.3102758510519527,22.387573087151484,6.321943317833698,11.611360012187923,14.517491409649423
Eritrea,CapDen1.0,Opt,1.374642020028568,29.984545984807653,1.6562890961484622,0.6670583915801438,0.2352032715963685,0.5092287669560057,0.21404754441043475,0.17603716536016928,47.84773626772913
France,CapDen1.0,Opt,638.4810185992749,37.538706576902904,786.9660348765597,0.4501453452260442,0.3358227306668224,330.5815293331682,106.35630974134223,160.69922490104418,332.80202257548046
Greece,CapDen1.0,Opt,79.58377946303682,34.61243461044436,101.72694433005653,0.3996036586087844,0.3760027794216851,35.92437834017775,10.206957808766274,19.177672698598904,31.339680896286694
Iceland,CapDen1.0,Opt,25.105472911962504,18.729937469646792,27.702847877700606,0.4577365300864376,0.06120704343548531,7.5240818507462,2.6665484401959096,1.7607950536420107,133.01455942219752
Iraq,CapDen1.0,Opt,311.15823285623964,36.180001269389706,414.29154394518457,0.38107168476086545,0.43311469519688495,141.38522981073024,44.04303371388733,76.92684328106333,357.7029312787339
Jamaica,CapDen1.0,Opt,9.429831752932252,37.870163253152974,13.838769973429224,0.15868718152100203,0.5445450891874811,4.43678867063262,0.48679154585249573,3.5317142486074196,1.5874262693977157
Kenya,CapDen1.0,Opt,31.884274590590856,26.508214876750966,37.42639638183038,0.5414116365821955,0.2616425835876376,11.101969407911891,3.9037912209752466,4.233457033915656,268.1147525575124
Latvia,CapDen1.0,Opt,8.931369531931987,31.25839690686036,10.194596035412005,0.4434513176238403,0.18800622902227815,4.610813013167912,1.4604656486053287,1.4743803759185787,63.324687409273764
Libya,CapDen1.0,Opt,116.99670469681419,33.24244582516627,151.08098157744806,0.5154647574675376,0.36775068758007196,50.266220004137914,19.15271431355703,23.384774807779948,1449.235257418493
Mongolia,CapDen1.0,Opt,14.362193744846982,36.641185293601765,18.756325411454657,0.6532710467474829,0.24673485280488097,6.388649686550508,2.868900509715162,2.2136534964009336,872.1061177415911
Myanmar,CapDen1.0,Opt,36.95865200334855,35.52366340590606,50.76240893867727,0.15840931046964143,0.510138132451491,19.388005948982325,2.7678150527894028,13.267119910422469,7.840355220733497
Nigeria,CapDen1.0,Opt,100.28954528660181,33.20988389842134,140.92486888104605,0.19620799809722972,0.5535682009408976,46.77856488226031,8.940146847216385,32.91864685205073,198.5098901161362
Pakistan,CapDen1.0,Opt,234.29342085637919,26.536494826163455,267.54803108937665,0.4800352551013138,0.2866100658439104,80.10979162401486,32.68726537001262,31.296034928207273,243.8576489281277
Paraguay,CapDen1.0,Opt,33.38416800446106,8.032504076342608,36.38364714883273,6.876249103692437e-12,8.62150762453647e-15,6.245696330011466,8.456083351074082e-11,2.211028758069363e-13,322.26235293094527
Portugal,CapDen1.0,Opt,68.63188535039541,32.838124238255396,87.99052701170187,0.3361872477766086,0.40474099594756735,33.20565745041839,9.015549205503083,17.854354324673864,31.71016958535993
Romania,CapDen1.0,Opt,75.63642815626801,36.275989837165824,91.2612270156836,0.40773925089754365,0.3113865287626355,38.992954292908706,13.598627465473365,17.473319994003308,55.44760912148976
Saudi Arabia,CapDen1.0,Opt,1153.333063452803,34.692456404678275,1439.2220584784125,0.6173869525134362,0.28492800506696175,489.48475355958,249.1414784068269,167.90070081730934,1247.3176878063848
Slovakia,CapDen1.0,Opt,37.25657309760563,46.667984728513254,50.207451996652104,0.39294281168119033,0.37734013037626063,23.73917725966205,7.33344152651914,12.829913050361082,13.685565574064796
South Africa,CapDen1.0,Opt,769.862918143549,41.062369635007286,780.9408440320117,0.4300280097172942,0.11393364208356217,238.772431897278,96.32579297131497,54.66009211957293,765.1039685385124
Sri Lanka,CapDen1.0,Opt,29.46068677111229,31.497794566691386,40.82191263753817,0.1358783635825945,0.5276739614735368,14.40463532214834,1.6020748211795728,10.998686685808641,24.24712385500282
Sweden,CapDen1.0,Opt,178.19036713597683,21.03353831757641,184.8446991117453,0.4906736386444458,0.10196617296498268,59.29348004007653,23.941020585659167,14.060050942408534,363.58932993909286
Tajikistan,CapDen1.0,Opt,21.242819048324474,21.899668058743984,27.494052805676883,0.3262598293764764,0.13835633659428223,8.682959466602922,1.702783311286101,1.5486360875660263,47.909034590235294
Togo,CapDen1.0,Opt,4.492670623954564,41.19985169107714,6.697203445065559,0.11944943448534515,0.6025636909965879,2.560330082281239,0.3314286738446439,2.0030338472576537,0.4673035170365542
Turkmenistan,CapDen1.0,Opt,26.885973561411795,37.784853896958666,36.64219401119467,0.5485135460881254,0.3446187982082811,13.040979749496959,4.85836150041153,5.998727662790968,409.9757413284554
United Kingdom,CapDen1.0,Opt,448.3170339022916,40.85070740916528,600.568668385287,0.6378419661118016,0.2448867993354062,242.6776818845096,91.39811971194852,114.3517248823073,181.99771647710486
Yemen,CapDen1.0,Opt,16.26828003144164,30.74891010063154,19.577052552409686,0.6622328622012198,0.24193727134508922,5.770224447930008,2.7688906029207137,1.9338674882563098,319.3894732158921
Albania,CapDen1.0,Opt,9.600979329051016,23.918649375290485,10.67129374919957,0.2971419178770471,0.2695043644914687,4.167893529983438,0.9648553029788907,1.6189755140348883,3.5776627470516305
Armenia,CapDen1.0,Opt,8.593273057601113,29.498906926357165,9.974977668751926,0.45449201236392783,0.25059515514681896,3.9425237489367966,1.205170396840725,1.2315742021785219,4.394525305411748
Bosnia and Herzegovina,CapDen1.0,Opt,17.286604855395865,24.869351337268547,19.635512173509873,0.3410838398792334,0.2651742538617844,7.630392700691361,1.8796747851495867,3.157516447123403,9.445947178178972
Bulgaria,CapDen1.0,Opt,48.73267579444586,44.5904001353028,69.1701024139455,0.3136149120828213,0.44902531270166085,30.282419611815648,7.774493207023833,18.200148117769118,19.056564073682303
Cambodia,CapDen1.0,Opt,14.959956842780423,36.760855329681895,22.253634834563805,0.0743633320064768,0.5937269709723004,8.66367515582813,0.5304419646382205,6.7742762333346995,1.021311946115942
Colombia,CapDen1.0,Opt,165.44395781423594,20.131972462932087,183.67131104602316,0.395636729718003,0.25971390062557104,51.724912025447516,15.077185822792872,21.529937074147828,19.747616010162282
Cuba,CapDen1.0,Opt,45.21449427017173,40.653444861375014,69.54934995730441,0.11165050396307384,0.6025967203579743,24.576401631577212,2.455290597155296,20.39950893557833,41.08896335039409
Denmark,CapDen1.0,Opt,45.07879165001188,49.84817845458908,69.75313750326902,0.5843123441693736,0.3086299770772882,29.07099420059688,9.8899915457635,15.51281588734061,41.49153088911189
Egypt,CapDen1.0,Opt,623.6235883491303,32.08117457455305,759.4522813029046,0.5508607625849714,0.3273599448923739,248.05239901023586,100.01829203057947,101.61885617089983,754.8527696245189
Estonia,CapDen1.0,Opt,12.435359012798854,69.3979059210019,23.11855366766598,0.6265355384184178,0.28344229338001353,10.686953032499177,4.465748151834716,5.1692879057098144,43.96494002067728
Georgia,CapDen1.0,Opt,15.34413253695096,18.618536417680854,16.574031581089294,0.3109053548723326,0.14492413173119445,5.316889203742645,1.2072219321728788,1.2387437682093618,11.84781901517274
Guatemala,CapDen1.0,Opt,26.417524468689034,32.44575522725163,37.523520805504816,0.14285142867152878,0.5195686134231755,12.687685207271748,1.534323204141518,9.532007250539358,3.8266528043573573
Haiti,CapDen1.0,Opt,2.3987397071228798,38.57001322926735,3.569298978685533,0.15855668366703063,0.569746742165197,1.1730070980544984,0.1512231341829255,0.8970517605015507,4.78375097970264
India,CapDen1.0,Opt,3144.5935985948317,38.22939152406752,4333.974917752358,0.151469270090077,0.5279892312750809,1407.3247916733949,240.67095512712606,995.7791932480849,256.3138500621351
Ireland,CapDen1.0,Opt,37.37327503095744,37.632746933454314,49.60171692772206,0.6531685532920922,0.2251894344043743,18.6532787823891,6.7063257573981065,8.734796821937385,68.9928463280918
Lithuania,CapDen1.0,Opt,15.478844212293083,56.78185255376758,25.228459681880373,0.5706484935676077,0.31298352474536784,12.027158443224366,4.539598392929087,5.951079934099704,60.2646418555314
Mauritius,CapDen1.0,Opt,9.559103149301231,62.47907088738015,13.084104747578117,0.17526733293238989,0.29603903677666027,5.315216332562283,0.7207715810360308,2.2847417208488308,1.084891419159181
Montenegro,CapDen1.0,Opt,4.2033126902153475,23.347956683353924,4.644736446074224,0.31398049593473165,0.248039462817376,1.79778916977084,0.4311435941418961,0.6878180465105543,2.7571250080107585
Namibia,CapDen1.0,Opt,13.577863762647628,33.239363978916394,14.518335831855069,0.46287680733380804,0.21296391525767008,4.68185944761503,1.9131936156736502,1.5559929993899062,420.9841900736218
North Korea,CapDen1.0,Opt,34.22092672515746,23.401842810865716,36.90698424810939,0.4381591762811092,0.17141766658027954,13.47455833126632,4.267095337441556,3.492570048145163,25.051408217942836
Peru,CapDen1.0,Opt,113.13222233270687,30.20767032183021,126.16912750597663,0.40806522984178234,0.2416651654089327,38.80121789906072,14.916322719203041,14.93624377651442,44.80583231335325
Senegal,CapDen1.0,Opt,14.471498990141075,38.02774322501747,20.844109939945557,0.17413742015078748,0.5746570334203297,7.099799333935145,1.2187543295526486,5.08776619099424,75.92899392578231
Slovenia,CapDen1.0,Opt,19.168525475058438,39.14164834100347,24.95806842747319,0.3207552089211303,0.3730561033330442,11.058952214198621,2.945573470147294,6.1335942421658345,3.036042463520351
Sudan,CapDen1.0,Opt,47.96894054215006,25.072599036094584,59.15416283051889,0.5378222033504826,0.29095597419407443,17.683390348163506,6.07872636292069,7.136108210293525,1321.8140032633166
Switzerland,CapDen1.0,Opt,82.81470741463434,25.123170289162413,92.75045021445096,0.2367354131313468,0.2879776501321124,39.68951931666875,7.7299691917490065,15.95572139058878,7.72996919330034
Tanzania,CapDen1.0,Opt,22.482781542891857,30.74494874502897,28.06248023901299,0.3876647497543965,0.3748299252671053,9.317888021919755,2.394428028348047,5.094557695821865,110.36814767057531
Trinidad and Tobago,CapDen1.0,Opt,24.06961252887283,70.15545605370828,29.51251776498006,0.03155721766392618,0.2668653320008372,12.923633126515357,0.3719141258588616,3.873644356676876,0.3719141260140365
Venezuela,CapDen1.0,Opt,242.69238451718164,21.6076375620208,277.51911069346306,0.3902084114087227,0.2664928871091887,82.53849192890854,24.627018097985072,36.086445627595275,87.09748866833334
Zambia,CapDen1.0,Opt,41.77455208280314,26.422748030516402,48.544678543350585,0.4283277639942599,0.3078867472961268,17.285409176997646,5.952357543144206,7.714487685253845,61.435204365397844
Algeria,CapDen1.0,Opt,226.5919892185826,33.87311296104717,286.2840408534736,0.5054371932355869,0.36096300600180925,94.17950729504308,34.42467059858003,43.19495390148054,918.1733148940573
Australia,CapDen1.0,Opt,316.5760960286952,32.533403868678306,372.0432410782089,0.6332379261857903,0.25277887396049886,132.39971131777605,60.51988983020151,50.004028268360074,2376.8374034179037
Bangladesh,CapDen1.0,Opt,129.54505869274138,52.309257790631804,237.63874761411986,0.00016834525959492816,0.7015528146150238,99.0497102826923,0.01839678515710065,90.64780289296515,0.018396785157176694
Benin,CapDen1.0,Opt,4.693796319554583,40.95495734086154,7.250627841801921,0.09499463867308722,0.6299052990236537,2.6147616107310974,0.25911977913693973,2.149278892234554,1.1451113706781277
Botswana,CapDen1.0,Opt,13.481291113150439,42.05174317571056,14.755766507222596,0.23822904676587112,0.34547249442758654,5.52722645794639,1.1188559855612257,2.911933505871807,252.19877248562142
Cameroon,CapDen1.0,Opt,26.65240375027008,30.65471670887785,35.68135072003023,0.16282835738042226,0.5147241929252415,11.468932118264942,2.0201403598223364,7.8820240340249885,15.098542082452386
Cyprus,CapDen1.0,Opt,6.185715369232511,44.71652644700949,10.532771240643658,0.0016760813052548,0.6808733383679876,3.7285751810683845,0.008089825339527007,3.2618349047506694,0.008089825340319054
El Salvador,CapDen1.0,Opt,15.489564663578038,34.25932850875925,22.93940551292616,0.05956309537388087,0.589717446354119,7.644380173198382,0.4574515664403143,6.191775473056579,0.6981661108731197
Ethiopia,CapDen1.0,Opt,34.8432378376521,23.551111878373238,41.27327266990757,0.5057166891354378,0.2413956460425189,12.491118752303732,4.940636601300556,4.346625362577247,280.6604492979712
Germany,CapDen1.0,Opt,748.9545387141299,46.752746982804446,1029.0376959884147,0.4170754515018557,0.4025653008542007,483.24940110427565,135.647466293659,283.4817093079513,198.20488780843334
Honduras,CapDen1.0,Opt,19.969411368891137,32.332468137500115,26.75042587113339,0.21314245979879465,0.4640699403531122,8.718394891377834,1.2525000292597144,6.0014793276351135,7.149954493120132
Indonesia,CapDen1.0,Opt,520.9403676539107,40.916504243900256,795.7938510251287,0.03155697057399478,0.6307132067748347,319.7624538301666,8.727189936184619,276.4479944820514,8.727189962759704
Jordan,CapDen1.0,Opt,64.26113647676553,38.69320372706361,90.77987109934311,0.26376305530959565,0.5096182749893984,30.796489882050977,6.963245695241264,19.584307407061115,74.82182011018828
Kyrgyzstan,CapDen1.0,Opt,17.999993124105895,18.820329575173606,23.322659694778626,0.45762807845863407,0.08476085799606056,5.992453763315111,2.0532621288888104,0.8481916291271984,63.31928901494971
Malaysia,CapDen1.0,Opt,309.26471137607206,51.7372016057249,391.23642336876446,4.096549535633794e-5,0.5422068470822919,158.60261507516418,0.0073729364428507735,116.05567565993695,0.007372936222088905
Mexico,CapDen1.0,Opt,696.4578640979654,33.34057863888456,1010.282486466021,0.1764370363417149,0.548655230414062,305.7499744643836,49.8601171113434,231.63837558877327,289.83708845893733
Morocco,CapDen1.0,Opt,122.48622066155728,34.24804596581388,169.9299671016991,0.35050711317126615,0.44474943132742917,51.34992742840373,12.651225569798251,31.3523866916256,91.82286021148701
Nepal,CapDen1.0,Opt,12.925279050803608,27.11778349588736,16.31728328933117,0.32445129014627694,0.3275994358409809,4.406299999136495,1.238919553099275,2.2317824353661564,5.094651901041351
Nicaragua,CapDen1.0,Opt,10.516349240649197,32.56693600390524,14.19247499856061,0.4302248943014385,0.38469017573767883,4.481372058495554,1.0675105005366006,2.61863449002825,21.343720500487432
Norway,CapDen1.0,Opt,167.10122935327698,10.68082375163264,167.10122935435058,0.16816889654808634,8.708235814973651e-16,36.604047137807896,6.038047137542196,1.2123615094679744e-13,291.89321686419436
Panama,CapDen1.0,Opt,23.182303204720142,31.115018799757717,30.797581362064193,0.2131219295222357,0.4631336368765612,11.910731019158746,1.831982648862835,8.203220867500699,7.070709112263242
Philippines,CapDen1.0,Opt,182.87530539422082,36.82365454646464,258.3459679457194,0.17351484931365532,0.5280022626352486,93.99372154343067,11.3712485927634,72.7972770988343,38.16468556554883
Serbia,CapDen1.0,Opt,46.03110261246213,33.79621565244214,55.787897285860495,0.30314382570652104,0.35267437970738236,22.63255686707075,5.971204375787766,12.020864348462057,19.32888236954425
South Sudan,CapDen1.0,Opt,1.4034553673132353,38.2313666122216,2.1605561000080784,0.10762173999151207,0.6087234151286756,0.6930518695881305,0.07127628041985594,0.5718484319035724,26.67775287554382
Suriname,CapDen1.0,Opt,4.383110113007314,44.21832776730524,6.831845873078172,0.08944799533115211,0.6223285558520636,2.738156282929693,0.24542721019987992,2.333665688327858,0.4848407997049552
Syria,CapDen1.0,Opt,59.44808459527538,36.54490462148907,82.62280046579203,0.3326430502735496,0.4645181657515385,28.641833504690034,6.779179036031414,16.78934806147401,126.13529507454103
Thailand,CapDen1.0,Opt,436.7605176015776,43.6669958386115,697.5288087228939,0.06826002413748451,0.6292865825132268,277.27714160972823,18.18420916307024,237.14187842958216,18.18420916471872
Tunisia,CapDen1.0,Opt,64.48773807046216,35.51615133484046,88.16476416827862,0.3480446774493324,0.4734378495655021,28.884967545177332,7.164548378650392,17.70984209755573,128.5619504337684
Ukraine,CapDen1.0,Opt,215.26607155598563,41.09390978896655,279.4713930532155,0.6133714543198237,0.2504533180289026,114.03946743697438,53.549060844746855,43.00085003136434,537.7542991711377
Uruguay,CapDen1.0,Opt,27.520240702107294,36.5933172213321,32.707919468972094,0.6038804416397752,0.19091344492170778,12.709909646466194,5.118119648862878,4.916083854876738,158.83638333303227
Vietnam,CapDen1.0,Opt,343.9957900283785,33.24589427198338,452.6276141705393,0.174049079700097,0.4761622601763449,169.64549732740466,21.748156029004196,122.69626823882527,43.798922160616584
Zimbabwe,CapDen1.0,Opt,27.18168239295629,41.5448469222034,32.060422482733465,0.38399612950217016,0.3818333831497321,12.98607336650893,3.7367727382969145,6.918852856579703,62.835644290084915
Angola,CapDen1.0,Opt,32.617141718544104,36.134064866292746,42.761882903267335,0.17308571488180252,0.48167152050318074,15.96493421942763,2.7051153389915634,11.189360058314858,45.08994445567715
Austria,CapDen1.0,Opt,95.62750868368529,23.54637461094419,104.40055425291219,0.37923674973813243,0.2054737446950833,39.0429510155167,12.364215593784222,13.037656642102752,26.976662810710955
Belarus,CapDen1.0,Opt,49.64487520968915,60.8410640842881,82.4604531587051,0.6055439265151442,0.3027145877744444,39.29724343055726,16.56972049016156,18.855705030745394,197.5100257304815
Brazil,CapDen1.0,Opt,1343.5895153385188,23.230602249593556,1468.7779357743375,0.43137024873301133,0.26402323680996986,482.57881030745455,170.6810881361979,191.70177162678584,943.2445843613528
Canada,CapDen1.0,Opt,761.1657460432083,17.964911643690005,810.3560855258273,0.5025551339441237,0.05433690861616357,206.18387661397537,99.48848746543283,23.07259681733046,5006.70789568619
Chile,CapDen1.0,Opt,171.81382457656665,22.765137900117292,185.03960464691977,0.6944105872405864,0.12143247867267393,51.24044417949598,23.647805106600646,11.055282474202647,301.0709902288235
Costa Rica,CapDen1.0,Opt,24.548121551726595,23.43412678496977,28.89761354358866,0.2801467603019629,0.2871606356553106,8.59430411632443,1.7874444830374743,4.148918405657975,5.222955201755461
Dominican Republic,CapDen1.0,Opt,43.203511200622486,37.106878614056015,63.19230636550796,0.1715093475109165,0.544283027645899,21.420090159096375,2.76175633651231,16.353839867476644,7.834542456852463
Finland,CapDen1.0,Opt,109.70844189388488,42.886938342015014,136.5693297991789,0.5922781622132014,0.19416479681401,58.41587814470895,25.73503280208196,21.431203654382436,272.65858931794384
Gabon,CapDen1.0,Opt,8.211733423351957,40.06377290296183,12.96353752984336,0.0,0.641941884142369,5.185072471443263,0.0,4.651534020100302,0.0
Ghana,CapDen1.0,Opt,42.54504736122666,32.388406360006776,55.76542390061036,0.14218323299892405,0.5093161152154481,19.518671735621055,3.008156255353506,13.89561129371472,3.505976498198488
Hungary,CapDen1.0,Opt,55.774719946743105,58.02637765017904,85.83360165706607,0.37239104247786253,0.4631326972116363,42.915685167996074,12.941424154521247,25.01419799839139,44.61386294914887
Iran,CapDen1.0,Opt,916.4993474214845,35.7755670218307,1270.4700887499923,0.29482487938495644,0.4719747579344704,396.9222769894109,95.84889266838896,247.12788261746087,693.0325784810253
Italy,CapDen1.0,Opt,405.1220941004893,39.07565404564503,548.7313729929919,0.22071230255996918,0.47799876506948574,221.43025524216552,44.2849231523687,148.5535235720443,54.084628020819785
Kazakhstan,CapDen1.0,Opt,143.37607440895155,30.645221586210575,171.50467575447774,0.7097024437906743,0.17989830592315595,55.01338882595218,29.385897849536992,15.427788663299703,2666.4291998299786
Macedonia,CapDen1.0,Opt,9.468858004286204,41.886085016564,13.43736763943427,0.16708680514911917,0.5076475336022934,5.60259446578446,0.8936924724078007,3.8863156113868023,1.3797406840599677
Moldova,CapDen1.0,Opt,7.758371521769677,50.955067347117776,11.254553602029635,0.3994125528198054,0.42117123195850603,5.3593778551091775,1.5955215577506006,3.046588294607724,29.219629077507793
Mozambique,CapDen1.0,Opt,46.041405596733185,30.146367603314314,55.154217910831015,0.44758398496488017,0.3180518561242127,20.781012259067886,7.609868795802057,9.84637306311229,49.96684614726416
Netherlands,CapDen1.0,Opt,150.49111897697736,50.54062933265636,216.98507092033117,0.45756640076763067,0.39340628792630583,101.12327950110492,27.96916742854593,59.35645216980775,29.782743545919338
Niger,CapDen1.0,Opt,4.392994706763762,36.26973875968254,6.307769140046017,0.23204567153218442,0.5478256315670311,2.0147762074056006,0.3526282799961993,1.4157768577840075,587.3509887204468
Oman,CapDen1.0,Opt,113.5330454109853,35.4168150941754,140.57345797452174,0.5110194697488065,0.3487947501554067,48.030102379567964,20.046827573442204,20.22623372466518,245.41943294614018
Poland,CapDen1.0,Opt,207.48429757047063,52.27578227970709,308.6780070809747,0.5048109700918051,0.3667260772604146,146.27413170265163,50.49132457347399,80.10561087351498,276.65258006710746
Spain,CapDen1.0,Opt,355.5936898790695,34.43538807295805,464.1629240525942,0.31810608046543676,0.4203820902106247,165.01967767532395,43.52959758905201,96.3639369395325,159.0623800426573
Turkey,CapDen1.0,Opt,354.55291761551945,30.99225770550163,416.8166532409827,0.390904824091938,0.30373473772773146,145.88293321788152,49.17634364762446,61.72858433820727,151.90123317955417
United Arab Emirates,CapDen1.0,Opt,433.7490941826515,43.2111566558366,554.8952843143857,0.06547956189302516,0.4953130380104462,169.6456372957142,13.315046844315168,113.45794224287155,36.78046262544172
